data	sample name	comment	7Li (µg/g)	23Na (%m/m)	25Mg (%m/m)	27Al (%m/m)	29Si (%m/m)	31P (%m/m)	39K (%m/m)	44Ca (%m/m)	45Sc (µg/g)	49Ti (%m/m)	51V (µg/g)	52Cr (µg/g)	55Mn (%m/m)	57Fe (%m/m)	59Co (µg/g)	60Ni (µg/g)	63Cu (µg/g)	66Zn (µg/g)	69Ga (µg/g)	89Y (µg/g)	90Zr (µg/g)
mean	BHVO-2G		4.47625	2.4229913	7.0545797	13.533323	50.689034		0.5136097	11.431473	33.134125	2.7846217	307.9311	290.14502	0.17062631	11.2756	43.860195	117.39517	125.370316	101.72917	21.894896	26.002441	169.50342
stdev	BHVO-2G		1.658161	0.5581654	1.2404627	2.3493803	5.202772		0.18943872	1.4359787	8.262226	0.3909959	66.32377	80.22138	0.0434849	2.0684361	11.9116955	40.965454	24.65233	55.13353	3.0579271	2.581189	22.470118
mean	BHVO-2G		4.6774616	2.4152403	7.271397	13.807967	49.914825		0.51442116	11.55679	33.654064	2.830752	313.9994	300.50256	0.17461875	11.38729	45.016747	117.158844	128.43132	101.55452	22.440527	26.439919	173.07376
stdev	BHVO-2G		1.7240444	0.5063333	1.2492656	1.8163862	3.9318104		0.10790244	1.2385219	11.557313	0.36367548	73.99933	55.537403	0.03652489	1.8145083	11.717706	39.929157	27.398857	56.380886	2.7979424	2.1448312	19.75273
mean	BCR-2G		8.53901	3.7248755	3.6466343	13.6736	54.544113	0.0	1.8059722	7.204464	37.16456	2.3953311	385.2188	0.0	0.19882308	12.716935	36.612568	0.0	18.585526	142.55621	35.550625	36.88442	191.51271
stdev	BCR-2G		2.6178102	0.8892989	0.5809652	1.6306204	3.871987	0.0	0.41969988	0.7833364	10.015388	0.35408962	55.77775	0.0	0.03074473	1.8036951	10.901024	0.0	7.0461435	58.608517	3.7782328	3.078798	18.79116
mean	BIR-1G		3.6520073	2.2494016	10.035807	15.703883	46.043995	0.0	0.0	13.752247	48.17782	1.0992908	317.75964	396.8674	0.17906128	10.811256	50.449905	176.78902	130.52708	78.925964	15.209559	16.601301	15.5109215
stdev	BIR-1G		1.7634737	0.5873159	1.5272521	1.7841779	4.5913544	0.0	0.0	1.6331964	14.1563015	0.15027621	54.257645	80.60493	0.03556436	2.0394237	13.088181	56.28354	29.442284	49.48496	2.2210445	1.6498113	2.2472975
mean	MongOl		2.7812262	0.020567248	47.676968	0.05384487	41.208347	0.0	0.0	0.105405234	0.0	0.0069435798	5.08949	125.2302	0.13765764	10.500003	141.57579	2566.7578	0.0	60.903812	0.13136522	0.07207795	0.0
stdev	MongOl		1.2018744	0.00472995	3.1765583	0.008952136	3.344673	0.0	0.0	0.0206579	0.0	0.0034378378	2.0430052	21.653221	0.021004802	1.3159617	28.727623	471.10486	0.0	35.119495	0.060339224	0.017525641	0.0
mean	TG-02		0.0	0.0	41.683853	0.035354655	38.49647	0.0	0.0	0.42229182	5.8895707	0.018826006	5.438597	44.384045	0.29027405	18.882164	198.62225	1268.8884	0.0	184.23781	0.0	0.16958214	0.0
stdev	TG-02		0.0	0.0	3.0997074	0.0077138743	3.1543303	0.0	0.0	0.048668586	2.9393218	0.004131716	1.9260815	10.51107	0.029919766	2.323494	32.440956	150.26999	0.0	63.796967	0.0	0.027563782	0.0
mean	TG-06		0.0	0.0	44.751835	0.040113557	39.83527	0.0	0.0	0.4793398	8.253316	0.025070934	4.250664	200.85213	0.22182515	14.435371	166.36154	1584.2603	0.0	147.47565	0.17519385	0.13247956	0.0
stdev	TG-06		0.0	0.0	3.7289944	0.008470315	3.5114863	0.0	0.0	0.061207358	3.209071	0.0070074513	1.5474535	32.93638	0.030799624	1.6568756	29.976677	250.2447	0.0	74.687	0.0833031	0.029734185	0.0
mean	TG-08		0.0	0.0	44.633274	0.037352607	39.830822	0.0	0.0	0.48940638	8.373538	0.020907823	4.274978	135.50208	0.22348875	14.560772	176.5482	1519.5453	0.0	195.14717	0.14737558	0.13386306	0.0
stdev	TG-08		0.0	0.0	3.3972692	0.007559692	3.5448089	0.0	0.0	0.060290348	4.1566224	0.0059148334	1.8337576	25.177376	0.032155663	1.9795727	31.05989	280.65576	0.0	84.032005	0.0754697	0.021892998	0.0
mean	TG-09		4.41042	0.008063241	40.58272	0.03561482	39.17584	0.0	0.0	0.39749828	6.3663187	0.019347107	5.8569965	46.21878	0.29225588	19.292614	195.98732	1398.0951	0.0	303.14444	0.16283286	0.1686751	0.0
stdev	TG-09		1.8645282	0.0024278979	2.3864644	0.0076852934	2.5862405	0.0	0.0	0.048763867	2.9867692	0.0052349675	1.9017271	7.904989	0.038597032	1.6362274	24.973553	186.2457	0.0	102.18753	0.07065599	0.024661168	0.0
mean	TG-10		0.0	0.008386267	44.31235	0.036434762	39.99893	0.0	0.0	0.4754956	9.594611	0.022836305	4.3081565	98.262146	0.2379027	14.703737	174.47092	1498.6809	0.0	253.71992	0.14780316	0.1391896	0.0
stdev	TG-10		0.0	0.0026074385	2.9275532	0.007448756	2.934052	0.0	0.0	0.0510617	4.911043	0.006471344	1.8245871	16.92033	0.02919929	1.6370442	30.236212	244.40372	0.0	109.500046	0.07462467	0.028330516	0.0
mean	TG-13		0.0	0.0	41.6482	0.042413004	38.556988	0.0	0.0	0.42981753	6.5755568	0.028561845	5.7052865	36.92228	0.2875474	18.809368	188.61589	1296.3715	0.0	436.54214	0.18964158	0.18275104	0.0
stdev	TG-13		0.0	0.0	3.2396994	0.008272234	3.0711827	0.0	0.0	0.048455846	3.3456392	0.0064181034	1.9439307	9.664553	0.0361307	1.9323454	28.681793	228.20474	0.0	180.70306	0.075802214	0.028246833	0.0
mean	TG-15		0.0	0.0	42.626198	0.040423665	40.04382	0.0	0.0	0.44850498	6.94881	0.025943639	4.529065	58.37077	0.25376603	16.345947	177.2804	1375.6434	0.0	530.77454	0.32586697	0.1397771	0.0
stdev	TG-15		0.0	0.0	2.5139387	0.008356603	3.3313935	0.0	0.0	0.056841675	2.9579961	0.0072630397	2.1222908	13.375999	0.03420776	2.2476175	31.043646	220.64346	0.0	231.6022	0.10819323	0.024668869	0.0
mean	TG-16		0.0	0.0	43.79826	0.047680646	41.02896	0.0	0.0	0.4158739	7.760836	0.02498462	4.8532486	239.23831	0.22079313	14.209285	166.7394	1665.1825	0.0	457.51688	0.17727908	0.14269748	0.0
stdev	TG-16		0.0	0.0	2.8714285	0.009001989	3.276683	0.0	0.0	0.053055495	4.070645	0.0064852987	2.0320954	40.996414	0.034621805	1.5135692	26.429289	319.28772	0.0	238.62668	0.069085546	0.02954613	0.0
mean	TG-17		0.0	0.0	43.63315	0.037249535	40.442604	0.0	0.0	0.47810757	7.7486143	0.02208484	3.9762633	79.481445	0.23283036	14.920686	175.16434	1483.5986	0.0	582.66614	0.14290148	0.13191995	0.0
stdev	TG-17		0.0	0.0	2.8579078	0.008161807	2.5819147	0.0	0.0	0.05266058	3.548099	0.00631997	1.7870927	16.170795	0.026408693	1.6022223	26.132578	260.96802	0.0	310.44296	0.07278921	0.02591979	0.0
mean	TG-19		23.877754	0.0	40.560913	0.037107278	39.643066	0.0	0.0	0.4223055	5.819473	0.025797216	4.8763547	35.76585	0.2910353	18.709251	192.37141	1277.6282	0.0	1564.5834	0.15769334	0.18468109	0.0
stdev	TG-19		12.343978	0.0	2.3454115	0.006789088	3.0484781	0.0	0.0	0.04543813	3.263878	0.007888268	2.2386093	7.2135673	0.029671382	2.102348	23.72366	198.91948	0.0	620.3155	0.077608734	0.024965229	0.0
mean	BHVO-2G			2.369576	6.9738364	13.554003	50.71116	0.2984461	0.5237903	11.356004	32.50127	2.7854064	300.0061	289.31372	0.16967987	11.14606	41.456966	117.53103	124.455505		21.994118	25.566547	167.60011
stdev	BHVO-2G			0.50659424	0.74994105	2.01831	4.3098426	0.09297805	0.17049938	1.0735929	9.841324	0.3274785	42.951275	66.7266	0.03366477	1.7110113	9.345331	30.791437	22.450329		2.9771957	1.9315505	14.8369
