data	sample name	comment	7Li (µg/g)	23Na (%m/m)	25Mg (%m/m)	27Al (%m/m)	29Si (%m/m)	31P (%m/m)	39K (%m/m)	44Ca (%m/m)	45Sc (µg/g)	49Ti (%m/m)	51V (µg/g)	52Cr (µg/g)	55Mn (%m/m)	57Fe (%m/m)	59Co (µg/g)	60Ni (µg/g)	63Cu (µg/g)	66Zn (µg/g)	69Ga (µg/g)	89Y (µg/g)	90Zr (µg/g)
mean	BHVO-2G		4.5141587	2.4095078	7.261866	13.794991	49.69372	0.29851502	0.52378035	11.54093	33.021492	2.8282359	308.97467	294.57773	0.17238781	11.350879	45.067627	116.33935	128.39615	100.976395	22.185627	26.273151	171.41505
stdev	BHVO-2G		1.733475	0.48540968	1.0204836	1.3927894	3.633965	0.084158555	0.103855684	0.9165316	7.592038	0.2979263	54.522793	54.795353	0.031575855	2.0623016	13.031996	41.89223	27.586761	35.404053	2.3757787	1.9676036	16.05441
mean	BHVO-2G		4.486792	2.447415	7.12737	13.60122	50.254116	0.2914736	0.50474024	11.468698	33.1939	2.7816625	309.7309	289.92822	0.17083724	11.227754	43.657494	118.66628	126.56641	102.46362	22.068632	26.119526	170.29115
stdev	BHVO-2G		1.9281026	0.47455138	0.9395633	1.497192	3.5089362	0.119281866	0.107285544	1.0590928	8.738932	0.2753294	54.127014	52.356102	0.027159581	1.642129	13.8993435	43.396744	28.988293	32.557026	2.3042164	1.9201862	15.491307
mean	BHVO-2G		4.361608	2.3661394	7.154303	13.617036	50.085316	0.28601792	0.4968352	11.47741	32.06952	2.7893262	310.35706	296.1602	0.17038625	11.431834	44.21739	120.25313	129.34818	98.275276	22.16118	26.122765	170.65442
stdev	BHVO-2G		1.7009854	0.45247546	0.7939844	1.3961278	3.6465049	0.098962	0.1252958	1.0675073	7.409792	0.2743995	57.50464	67.16376	0.02843604	1.8667161	10.596193	43.686405	29.41018	44.60519	2.2142496	1.9339414	14.805616
mean	BCR-2G		8.047044	3.3683608	3.5236115	13.489231	55.319695	0.34779045	1.7349324	6.8964944	32.29013	2.2814934	382.49188	0.0	0.20106405	12.749968	37.244522	0.0	18.19821	137.8651	31.968735	36.598316	188.97816
stdev	BCR-2G		2.1630945	0.71394426	0.510615	1.5937502	3.241067	0.067382246	0.35999486	0.52825963	6.2096143	0.21199487	56.08121	0.0	0.027034784	1.5211902	9.187982	0.0	6.4012766	53.157173	2.8142903	2.7527418	17.951742
mean	BIR-1G		0.0	1.9807914	9.7411785	15.453576	47.674282	0.0	0.024204217	13.248546	45.500336	1.0235982	318.95996	413.9179	0.1810075	10.555467	58.379818	163.83748	128.13538	0.0	14.973525	15.570761	14.219522
stdev	BIR-1G		0.0	0.4002345	1.3186206	1.6037681	3.1549153	0.0	0.0060438006	1.1032734	11.062957	0.12615456	61.074066	85.014946	0.031873256	1.5351374	15.124763	48.147465	29.413425	0.0	1.6759349	1.1599417	1.7044128
mean	MongOl		0.0	0.019884817	48.66678	0.051140692	40.22108	0.0	0.0	0.10547416	0.0	0.0	0.0	125.57358	0.14495005	10.504261	148.13617	2527.3127	0.0	63.369106	0.0	0.07337964	0.0
stdev	MongOl		0.0	0.0044537648	3.6589084	0.006865009	3.67817	0.0	0.0	0.015914487	0.0	0.0	0.0	24.426268	0.02134313	1.7684401	27.783405	497.02228	0.0	27.137777	0.0	0.017886283	0.0
mean	TG-01		2.2744312	0.015665365	47.09943	0.058486897	39.100792	0.030583132	6.2888826e-4	0.25664937	0.0	0.014937776	6.629558	423.23257	0.17911291	12.957388	160.8528	2175.3328	2.2105458	92.26384	0.19789276	0.09427526	0.07739291
stdev	TG-01		1.0419025	0.0035142049	3.3283005	0.00768295	3.2558155	0.020615347	0.0010163994	0.030613683	0.0	0.0041035404	2.5082664	65.650154	0.028718347	1.7868596	30.412733	419.36932	1.5961117	32.41002	0.07058335	0.018551877	0.05149201
mean	TG-02		2.064154	0.011490311	43.957504	0.04049875	38.556458	0.0	0.0	0.19540155	3.9857905	0.02039643	6.09355	115.69315	0.23442227	16.771463	190.62999	1676.9625	2.8464859	124.8804	0.16156316	0.098702766	0.0921706
stdev	TG-02		1.0024827	0.0032545314	3.3819706	0.005987237	3.331581	0.0	0.0	0.022614924	2.049289	0.003816401	2.3177454	25.169275	0.050169013	2.4260595	30.984892	265.4067	1.8662053	37.274403	0.05997567	0.014678633	0.057161506
mean	TG-03		2.8353643	0.012736624	41.416084	0.02688548	39.16879	0.020631267	0.0	0.27570182	3.6361113	0.020728314	2.9533262	67.59948	0.28006488	18.604565	194.81892	1310.9834	0.0	155.03621	0.14112715	0.11520839	0.07559624
stdev	TG-03		1.0592914	0.0030657924	4.2654905	0.00501236	4.1206574	0.013341079	0.0	0.032452483	1.7873871	0.005224215	1.2429674	14.683993	0.060022313	3.5460835	50.397465	248.9374	0.0	44.302505	0.055452105	0.02067184	0.051552493
mean	TG-04-RIM		1.7643634	0.008595748	41.516514	0.040603384	39.050415	0.0	0.0	0.36282027	5.54903	0.03687956	4.916942	0.0	0.27528962	18.644953	195.06273	302.86325	0.0	128.5042	0.14879164	0.17352904	0.06834864
stdev	TG-04-RIM		0.7842357	0.0018533417	2.9826515	0.0058474136	3.1702063	0.0	0.0	0.035864286	1.8757802	0.0075352476	1.5733402	0.0	0.04251812	2.9115305	28.372797	67.73468	0.0	32.313946	0.05152492	0.02220389	0.04530808
mean	TG-04-CORE		1.5713295	0.0073718135	42.86344	0.047444787	39.46427	0.0	5.959922e-6	0.4305324	7.741995	0.036711335	6.307537	10.096795	0.2299724	16.844711	191.10179	416.3616	0.0	121.91699	0.1945131	0.16067643	0.0
stdev	TG-04-CORE		0.82102317	0.0018233989	3.284239	0.006507074	3.5436502	0.0	6.591862e-4	0.042535387	2.4634604	0.007280083	1.7408029	4.22538	0.03239037	2.4091468	33.6197	81.36232	0.0	29.551394	0.06465016	0.024680788	0.0
mean	TG-05		2.7343156	0.013151384	42.305504	0.029352594	39.660286	0.0	-6.9511494e-5	0.29121405	3.9029384	0.023013346	3.0520601	46.796463	0.27425095	17.229296	196.11948	1335.4736	0.0	151.6238	0.13478701	0.12511952	0.09159379
